MOVIES,Year,RATING,VOTES,RunTime,Gross_Clean,GENRE,ONE-LINE,Director_Clean,Stars_Clean,Type,Status
#AnneFrank - Parallel Stories,2019.0,6.5,1296.0,92.0,NaN,"Drama, History","It is based on five women who did survive the Holocaust but shared her same fate of ""deportation, suffering and being denied their childhood and adolescence,"" according to promotional materials.","Sabina Fedeli, Anna Migotto","Helen Mirren, Anne Frank, Martina Gatti, Arianna Szorenyi",Movie,Released
#BlackAF,2020.0,6.8,4200.0,36.0,NaN,Comedy,A father takes an irreverent and honest approach to parenting and relationships.,NaN,"Rashida Jones, Kenya Barris, Iman Benson, Genneya Walton",Movie,Released
#HappyBirthdaySense8,2017.0,8.9,828.0,15.0,NaN,Short,NaN,Josh Oreck,"Freema Agyeman, Jamie Clayton, Tina Desai, Bae Doona",Movie,Released
#Realityhigh,2017.0,5.2,5947.0,99.0,NaN,"Comedy, Drama, Romance","High-achieving high-school senior Dani Barnes dreams of getting into UC Davis, the world's top veterinary school. Then a glamorous new friend draws her into a Southern California scene that threatens everything she's worked for.",Fernando Lebrija,"Nesta Cooper, Keith Powers, Alicia Sanz, Jake Borelli",Movie,Released
#Rucker50,2016.0,5.2,105.0,56.0,NaN,Documentary,NaN,Robert McCullough Jr.,Inez Dickens,Movie,Released
#Saraitda,2020.0,6.3,30530.0,98.0,NaN,"Action, Drama, Horror","The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",Il Cho,"Yoo Ah-in, Park Shin-Hye, Jeon Bae-soo, Hyun-Wook Lee",Movie,Released
#TemanTapiMenikah,2018.0,6.9,602.0,102.0,NaN,"Biography, Comedy, Drama","Ayudia (Vanesha Prescilla) and Ditto (Adipati Dolken) have been best friends for 12 years. And for all those times, Ditto has been secretly in love with her. Until one day, Ayudia told him that she's gonna get married.",Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Refal Hady, Denira Wiraguna",Movie,Released
#TemanTapiMenikah2,2020.0,6.9,241.0,100.0,NaN,"Biography, Comedy, Drama","Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.",Rako Prijanto,"Adipati Dolken, Mawar Eva de Jongh, Vonny Cornellya, Sari Nila",Movie,Released
#cats_the_mewvie,2020.0,5.3,439.0,90.0,NaN,Documentary,It's a 2020 documentary about how cats went from cute text memes to iconic celebrities on YouTube.,Michael Margolis,"Kevin Allocca, Phaedra Barratt, Amanda Brennan, Mike Bridavsky",Movie,Released
#differentnotless,2017.0,NaN,0.0,30.0,NaN,Drama,"The life and experiences of three close friends, one gay, one straight, and one autistic.",NaN,,Series,Ongoing
'76,2016.0,7.2,58.0,118.0,NaN,"Drama, Romance","The story is told from two points of view: that of a young pregnant woman, and that of her husband, a soldier accused of being involved in the 1976 military coup and assassination of General Murtala Mohammed, the Head-of-State of Nigeria.",Izu Ojukwu,"Efetobore Afatakpa, Tunde Alabi, Bisi Ariyo, Preach Bassey",Movie,Released
(Un)Well,2020.0,6.4,901.0,NaN,NaN,Documentary,"This docu-series takes a deep dive into the lucrative wellness industry, which touts health and healing. But do these wellness trends live up to their promises?",NaN,Jennifer Julian,Series,Ongoing
1 Chance 2 Dance,2014.0,4.8,544.0,89.0,NaN,"Drama, Family",NaN,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu",Movie,Released
"1,000,000 yen no Onnatachi",2017.0,7.5,1636.0,30.0,NaN,"Comedy, Drama, Mystery","A frustrated writer has 5 mysterious women turn up at his house, all seemingly invited and all must adhere to strict rules, they all pay him a million yen as rent. Who is responsible for the invites?",NaN,"Yôjirô Noda, Rila Fukushima, Rena Matsui, Miwako Wagatsuma",Movie,Released
10 000 timmar,2014.0,4.4,953.0,94.0,NaN,Comedy,"When he wins the lottery, an ordinary guy quits his job to pursue his dream of becoming a pro soccer player by devoting 10,000 hours to training.",Joachim Hedén,"Peter Magnusson, Karin Lithman, Özz Nûjen, Mathilda von Essen",Movie,Released
10 Days in Sun City,2017.0,5.1,58.0,87.0,NaN,"Adventure, Comedy, Romance","A globetrotting traveler, Akpos, brings his girlfriend to the land of South Africa in this adventure.",Adze Ugah,"Gbenro Ajibade, Ali Baba, Fathia Balogun, Jaun de Jager",Movie,Released
100 Humans,2020.0,5.7,3456.0,NaN,NaN,Reality-TV,"A social experiment where 100 individuals will be a part of interactive experiments exploring sex, happiness, torture and all the other aspects of being human.",NaN,"Komalpreet Kaur Batth, Haley Bockrath, Dylan George, Braxton Hale",Series,Ongoing
